ID,Start time,Completion time,Email,Name,Last modified time,Provided ID,Occupation,Educational Background,Which one did you test ?,1. The links and buttons at the top of the page in the navigation menu are clear and readable.,2. It is easy to navigate the site using only a keyboard (without a mouse).,3. The text and buttons on the product cards are easy to read.,"4. I receive a small, modern notification when adding or removing an item from the cart.",5. I notice the product is duplicated in the cart after adding it twice.,"6. When I fill out a form incorrectly, I receive meaningful error messages.",7. I experienced smooth and fluid scrolling while browsing the product list on the Home and Sales pages.  ,"8. The mouse cursor changes to a hand icon when hovering over links and buttons, making it clear they are clickable.",9. The checkboxes were appropriately sized and easy to click.,10.  The search results update instantly as I type.,11. The website's background makes it easy to maintain visual focus on the products.,12. Product images fit their frames proportionally without unnecessary white space.,13. The system responds immediately when applying filters on products.,14. The system responds immediately when sorting products by category.,"15. Overall, the application feels modern and responsive."
256,04/20/2026 16:02:09,04/20/2026 16:06:00,anonymous,,,Std122,Student,Sjuksköterska ,Shop,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
257,04/20/2026 15:58:36,04/20/2026 16:06:25,anonymous,,,STD121,Studnet ,Sjusköterska,Shop,4. Agree,3. Neutral,4. Agree,4. Agree,2. Disagree ,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree
259,04/20/2026 16:10:48,04/20/2026 16:14:12,anonymous,,,Std125,Student ,Tekniskt basår ,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
260,04/20/2026 16:08:13,04/20/2026 16:14:20,anonymous,,,STD123,Student,Basår,Ecommerce,4. Agree,4. Agree,3. Neutral,2. Disagree ,3. Neutral,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral
261,04/20/2026 16:14:22,04/20/2026 16:16:31,anonymous,,,Std125,Student ,Tekniskt basår ,Shop,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Agree,3. Neutral,4. Agree,3. Neutral
262,04/20/2026 16:14:26,04/20/2026 16:16:38,anonymous,,,Std123,Student,Basår,Shop,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,1. Strongly Disagree ,3. Neutral,4. Agree,2. Disagree ,2. Disagree ,3. Neutral,3. Neutral,4. Agree,3. Neutral,2. Disagree ,3. Neutral
268,04/20/2026 16:32:55,04/20/2026 16:38:26,anonymous,,,Std132,Student,Msc ai and ml,Ecommerce,4. Agree,2. Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,5. Strongly Agree,2. Disagree ,4. Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,4. Agree,4. Agree,5. Strongly Agree,1. Strongly Disagree 
269,04/20/2026 16:31:50,04/20/2026 16:39:04,anonymous,,,Std129,Student,Software engineer,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree
270,04/20/2026 16:32:54,04/20/2026 16:39:34,anonymous,,,Std131,Student ,Student ,Ecommerce,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree
271,04/20/2026 16:32:04,04/20/2026 16:39:54,anonymous,,,Std130,Student ,Masters ,Ecommerce,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,3. Neutral,3. Neutral,3. Neutral
272,04/20/2026 16:42:57,04/20/2026 16:43:09,anonymous,,,std132,Student,Msc ai and ml,Shop,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,2. Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree 
273,04/20/2026 16:40:11,04/20/2026 16:44:02,anonymous,,,Std130,Student ,Masters,Shop,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Agree,3. Neutral
274,04/20/2026 16:40:44,04/20/2026 16:46:42,anonymous,,,Std131,Student,Student ,Shop,3. Neutral,4. Agree,3. Neutral,2. Disagree ,4. Agree,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,4. Agree,2. Disagree 
275,04/20/2026 16:43:09,04/20/2026 16:46:43,anonymous,,,Std129,Student ,Software engineer,Shop,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,2. Disagree ,4. Agree,4. Agree,1. Strongly Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,4. Agree,4. Agree,4. Agree,2. Disagree 
276,04/20/2026 16:48:52,04/20/2026 16:54:08,anonymous,,,Std135,Student,Master of Sience in Software Engineer,Ecommerce,2. Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree
277,04/20/2026 16:49:36,04/20/2026 16:54:09,anonymous,,,Std133,Student,Civilingenjör inom AI och maskinlärning,Ecommerce,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree
278,04/20/2026 16:49:10,04/20/2026 16:54:13,anonymous,,,STD134,Student,Civilingenjör i AI & Maskininlärning ,Ecommerce,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
279,04/20/2026 16:54:16,04/20/2026 16:57:21,anonymous,,,STD134,Student,Civilingenjör i AI & Maskininlärning ,Shop,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,3. Neutral,2. Disagree 
280,04/20/2026 16:54:14,04/20/2026 16:57:23,anonymous,,,Std135,Student,Master of Sienas in Software Engineering,Shop,1. Strongly Disagree ,2. Disagree ,2. Disagree ,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree ,3. Neutral,4. Agree,3. Neutral,3. Neutral,3. Neutral,2. Disagree 
281,04/20/2026 16:54:18,04/20/2026 16:58:10,anonymous,,,Std133,Civilingenjör inom AI och maskininlärning,Student,Shop,3. Neutral,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,3. Neutral,3. Neutral,2. Disagree ,3. Neutral,2. Disagree 
282,04/20/2026 16:59:31,04/20/2026 17:07:36,anonymous,,,std136,Student,Maskinteknik,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,2. Disagree ,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
283,04/20/2026 17:07:38,04/20/2026 17:07:42,anonymous,,,Std137,Student,Masters in mechanical engineering ,Ecommerce,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
284,04/20/2026 17:07:45,04/20/2026 17:11:27,anonymous,,,Std136,Student,Maskinteknik,Shop,2. Disagree ,5. Strongly Agree,3. Neutral,4. Agree,5. Strongly Agree,2. Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,4. Agree,3. Neutral,1. Strongly Disagree ,4. Agree,3. Neutral,2. Disagree 
285,04/20/2026 17:08:30,04/20/2026 17:11:56,anonymous,,,Std137,Civilingenjör i maskinteknik,Civilingenjör i maskinteknik,Shop,2. Disagree ,4. Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,3. Neutral,2. Disagree ,4. Agree,4. Agree,2. Disagree 
286,04/20/2026 17:15:10,04/20/2026 17:18:35,anonymous,,,Std138,Student,Engineer,Ecommerce,5. Strongly Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree
287,04/20/2026 17:18:40,04/20/2026 17:20:39,anonymous,,,Std138,Student,Engineer,Shop,1. Strongly Disagree ,2. Disagree ,2. Disagree ,3. Neutral,4. Agree,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree 
288,04/20/2026 17:25:31,04/20/2026 17:36:27,anonymous,,,STD139,Student ,Indek ,Ecommerce,5. Strongly Agree,4. Agree,3. Neutral,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral
289,04/20/2026 17:27:18,04/20/2026 17:36:30,anonymous,,,STD140,Student,Mechanical engineering,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,1. Strongly Disagree ,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral
290,04/20/2026 17:36:35,04/20/2026 17:43:20,anonymous,,,STD140,Student ,Mechanical Engineering ,Shop,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,3. Neutral,3. Neutral,2. Disagree ,2. Disagree ,1. Strongly Disagree 
291,04/20/2026 17:36:38,04/20/2026 17:44:11,anonymous,,,STD139,Student ,Indek,Shop,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,4. Agree,4. Agree,2. Disagree 
294,04/20/2026 17:52:10,04/20/2026 17:54:36,anonymous,,,Std142,Student ,Mjukvara,Ecommerce,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
296,04/20/2026 17:54:39,04/20/2026 18:01:16,anonymous,,,Std142,Student ,Mjukvara,Shop,1. Strongly Disagree ,5. Strongly Agree,4. Agree,1. Strongly Disagree ,2. Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,4. Agree,5. Strongly Agree,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,5. Strongly Agree,3. Neutral
301,04/20/2026 20:06:04,04/20/2026 20:14:51,anonymous,,,Std145,Student ,Mechanical Engineering ,Ecommerce,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,2. Disagree ,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree
302,04/20/2026 20:05:56,04/20/2026 20:15:30,anonymous,,,Std146,Student,Mechanical Engineering,Ecommerce,3. Neutral,3. Neutral,4. Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,2. Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,2. Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,2. Disagree 
303,04/20/2026 20:09:10,04/20/2026 20:16:21,anonymous,,,Std147,Student,MSc Mechanical Engineering,Ecommerce,4. Agree,3. Neutral,3. Neutral,3. Neutral,1. Strongly Disagree ,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree
304,04/20/2026 20:15:43,04/20/2026 20:19:47,anonymous,,,Std146,Student,Mechanical Engineering,Shop,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,5. Strongly Agree,4. Agree,1. Strongly Disagree 
305,04/20/2026 20:16:24,04/20/2026 20:19:53,anonymous,,,Std147,Student,MSc Mechanical Engineering,Shop,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,1. Strongly Disagree ,3. Neutral,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,2. Disagree ,1. Strongly Disagree 
306,04/20/2026 20:15:53,04/20/2026 20:20:23,anonymous,,,Std145,Student ,Mechanical Engineering ,Shop,2. Disagree ,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,2. Disagree ,3. Neutral,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral
307,04/20/2026 20:27:32,04/20/2026 20:37:10,anonymous,,,Std148,Students ,Software Engineering,Ecommerce,4. Agree,4. Agree,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,2. Disagree ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
308,04/20/2026 20:37:21,04/20/2026 20:45:49,anonymous,,,Std148,Student,Software Engineering,Shop,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,4. Agree,3. Neutral,2. Disagree ,1. Strongly Disagree ,3. Neutral,4. Agree,5. Strongly Agree,2. Disagree ,4. Agree,4. Agree,3. Neutral
309,04/21/2026 11:23:14,04/21/2026 11:29:51,anonymous,,,Std149,Student,Master’s in AI and Machine Learning,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
310,04/21/2026 11:23:19,04/21/2026 11:30:34,anonymous,,,Std150,Student,Masters of software engineer ,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
311,04/21/2026 11:23:12,04/21/2026 11:30:37,anonymous,,,std152,Master's student,Masters in Software Engineering,Ecommerce,5. Strongly Agree,4. Agree,4. Agree,4. Agree,2. Disagree ,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,4. Agree,4. Agree,4. Agree,3. Neutral
312,04/21/2026 11:23:25,04/21/2026 11:30:39,anonymous,,,Std151,Student,Software,Ecommerce,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
313,04/21/2026 11:30:39,04/21/2026 11:35:05,anonymous,,,Std149,Student,Master’s in AI and Machine Learning,Shop,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,4. Agree,4. Agree,2. Disagree ,3. Neutral,1. Strongly Disagree 
314,04/21/2026 11:30:40,04/21/2026 11:35:07,anonymous,,,Std150,Student ,Masters of software engineering ,Shop,4. Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,2. Disagree ,4. Agree,2. Disagree ,2. Disagree ,1. Strongly Disagree 
315,04/21/2026 11:30:39,04/21/2026 11:35:13,anonymous,,,std152,Master's Student,Masters in software engineering,Shop,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree ,2. Disagree ,2. Disagree ,3. Neutral,2. Disagree 
316,04/21/2026 11:30:48,04/21/2026 11:35:15,anonymous,,,Std151,Student,Software Engineering,Shop,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,5. Strongly Agree,4. Agree,4. Agree,2. Disagree ,1. Strongly Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree 
317,04/21/2026 11:38:23,04/21/2026 11:43:35,anonymous,,,Std155,Student,Urban planning,Ecommerce,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,3. Neutral,3. Neutral,5. Strongly Agree,3. Neutral,3. Neutral,5. Strongly Agree,3. Neutral
318,04/21/2026 11:38:17,04/21/2026 11:43:35,anonymous,,,Std154,Student,Webdevelopment ,Ecommerce,4. Agree,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,2. Disagree 
319,04/21/2026 11:38:30,04/21/2026 11:43:39,anonymous,,,STD158,Student,Teknisk basår,Ecommerce,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neutral,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree
320,04/21/2026 11:38:29,04/21/2026 11:43:41,anonymous,,,STD157,Student ,Civilenginering in industrial economy,Ecommerce,3. Neutral,4. Agree,4. Agree,5. Strongly Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,5. Strongly Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree
321,04/21/2026 11:38:28,04/21/2026 11:43:42,anonymous,,,Std153,Student,Urban planing ,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,4. Agree
322,04/21/2026 11:39:37,04/21/2026 11:43:45,anonymous,,,Std159,Student civilingenjör maskinteknik,Teknik design och produktutveckling,Ecommerce,4. Agree,3. Neutral,4. Agree,4. Agree,2. Disagree ,4. Agree,4. Agree,3. Neutral,4. Agree,1. Strongly Disagree ,4. Agree,4. Agree,3. Neutral,3. Neutral,5. Strongly Agree
323,04/21/2026 11:38:23,04/21/2026 11:43:49,anonymous,,,Std156,Student,Urban planning,Ecommerce,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree
324,04/21/2026 11:43:45,04/21/2026 11:47:34,anonymous,,,Std155,Student,Urban planning,Shop,3. Neutral,2. Disagree ,4. Agree,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,4. Agree,1. Strongly Disagree ,5. Strongly Agree,4. Agree,1. Strongly Disagree ,4. Agree,4. Agree
325,04/21/2026 11:43:47,04/21/2026 11:47:36,anonymous,,,Std153,Student,Urban planing,Shop,2. Disagree ,4. Agree,4. Agree,3. Neutral,3. Neutral,2. Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,4. Agree,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral
326,04/21/2026 11:43:39,04/21/2026 11:47:36,anonymous,,,Std154,Student,Webdevelopment,Shop,2. Disagree ,3. Neutral,2. Disagree ,3. Neutral,3. Neutral,2. Disagree ,3. Neutral,1. Strongly Disagree ,2. Disagree ,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral
327,04/21/2026 11:43:53,04/21/2026 11:47:36,anonymous,,,STD158,Student,Tekniskt basår ,Shop,3. Neutral,4. Agree,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Agree,3. Neutral,3. Neutral,4. Agree,4. Agree,3. Neutral,4. Agree,3. Neutral
328,04/21/2026 11:43:59,04/21/2026 11:47:36,anonymous,,,STD157,Student ,Civilengineer in industrial economy,Shop,4. Agree,2. Disagree ,3. Neutral,4. Agree,4. Agree,3. Neutral,3. Neutral,3. Neutral,2. Disagree ,3. Neutral,3. Neutral,2. Disagree ,3. Neutral,4. Agree,3. Neutral
329,04/21/2026 11:44:06,04/21/2026 11:47:36,anonymous,,,Std159,Civilingenjör maskinteknik,Teknik design och produktutveckling,Shop,2. Disagree ,2. Disagree ,3. Neutral,1. Strongly Disagree ,3. Neutral,2. Disagree ,1. Strongly Disagree ,4. Agree,2. Disagree ,4. Agree,4. Agree,4. Agree,4. Agree,3. Neutral,2. Disagree 
330,04/21/2026 11:43:56,04/21/2026 11:47:37,anonymous,,,Std156,Student,Urban planning,Shop,2. Disagree ,2. Disagree ,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,5. Strongly Agree,2. Disagree ,2. Disagree ,3. Neutral,3. Neutral,2. Disagree ,5. Strongly Agree,3. Neutral,2. Disagree 
331,04/21/2026 11:50:44,04/21/2026 12:01:30,anonymous,,,Std 160,Student,Civil engineering ai and machine learning,Ecommerce,3. Neutral,4. Agree,4. Agree,2. Disagree ,1. Strongly Disagree ,3. Neutral,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral
332,04/21/2026 11:50:47,04/21/2026 12:01:30,anonymous,,,Std161,Student,Master of Science in Engineering: AI and Machine Learning,Ecommerce,3. Neutral,4. Agree,4. Agree,2. Disagree ,4. Agree,2. Disagree ,3. Neutral,5. Strongly Agree,2. Disagree ,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neutral
333,04/21/2026 12:01:45,04/21/2026 12:05:54,anonymous,,,Std161,Student,Master of Science in Engineering: AI and Machine Learning,Shop,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,4. Agree,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree 
334,04/21/2026 12:01:34,04/21/2026 12:05:55,anonymous,,,Std 160,Student,Civil engineering ai and machine learning ,Shop,1. Strongly Disagree ,3. Neutral,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,5. Strongly Agree,4. Agree,2. Disagree ,4. Agree,1. Strongly Disagree ,2. Disagree 
341,04/26/2026 17:58:46,04/26/2026 18:06:16,anonymous,,,std165,Student,software engineering,Ecommerce,4. Agree,3. Neutral,4. Agree,5. Strongly Agree,1. Strongly Disagree ,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree
342,04/26/2026 18:06:20,04/26/2026 18:15:42,anonymous,,,std165,Student,software engineering,Shop,1. Strongly Disagree ,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,5. Strongly Agree,1. Strongly Disagree ,2. Disagree ,1. Strongly Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,2. Disagree ,1. Strongly Disagree ,1. Strongly Disagree ,1. Strongly Disagree 
